reference,doi,website_report,full_reference,id
"Coster 1989","","https://nzarchaeology.org/download/dates-from-the-dunes-a-sequence-for-the-aupouri-peninsula-northland-new-zealand","Coster, J. (1989) Dates from the dunes: A sequence for the Aupori Peninsula, Northland, New Zealand. New Zealand Journal of Archaeology, 11, 51-75.","68"
"Crawford 1873","","","Crawford, J.C. (1872) Notes on Miramar Peninsula, Wellington Harbour. Transactions of the New Zealand Institute, Vol. 5, 396pp.","69"
"Crawford 1884","","http://rsnz.natlib.govt.nz/volume/rsnz_17/rsnz_17_00_005760.html","Crawford, J. C. (1884) On water-worn pebbles in the soil. Transactions of the Royal Society of New Zealand, Vol. 17, 341-342.","70"
"Davidson 1975","","https://www.jstor.org/stable/42906218","Davidson, J. (1975) The excavation of Skipper’s Ridge (N40/7), Opito, Coromandel Peninsula, in 1959 and 1960. Records of the Auckland Institute and Museum, 12, 1-42.","71"
"Davidson 1976","","http://ir.canterbury.ac.nz/handle/10092/6779","Davidson, G.D. (1976) Late Holocene environmental history of the Kaikoura area. MA thesis, Geography, University of Canterbury, 121pp. (In: Walters et al 2003).","72"
"Davidson 1984","","","Davidson, G.D. (1984) The Prehistory of New Zealand. Longman Paul, Auckland (207 pp.).","73"
"Davis 1957","","http://www.jps.auckland.ac.nz/document/Volume_66_1957/Volume_66%2C_No._2/Evidence_of_Maori_occupation_in_the_Castlepoint_area%2C_by_Susan_Davis%2C_p_199_-_203?action=null","Davis, S. (1957) Evidence of Maori occupation in the Castlepoint area. Journal of the Polynesian Society, 66, 199-203.","74"
"de Lange and Cameron 1997","","","de Lange, P.J. and Cameron, E.K. (1997) Waterspout damage to Aorangi Island, Poor Knights. Auckland Botanical Society Journal, 52, 37-38.","75"
"de Lange and Healy 1986","","http://www.tandfonline.com/doi/abs/10.1080/00288306.1986.10427527","de Lange, W.P. and Healy, T.R. (1986) New Zealand tsunamis 1840-1982. New Zealand Journal of Geology and Geophysics, 29, 115-134.","76"
"de Lange and Moon 2007","10.1016/j.sedgeo.2007.01.006","","de Lange, W.P. and Moon, V.G. (2007) Tsunami washover deposits at Tawharanui, New Zealand. Sedimentary Geology, 200, 232-237.","77"
"de Lange and Moon in press","","","de Lange, W.P. and Moon, V.G. (In press) Volcanic generation of tsunamis: Two New Zealand palaeo-events. 7th International symposium on Submarine Mass Movements and Their Consequences. Novermber 1-4, 2015 Wellington NZ.","78"
"de Lange et al 2006","10.1016/j.margeo.2006.04.006","","de Lange, W.P., de Lange, P.J. and Moon, V.G. (2006) Boulder transport by waterspouts: an example from Aorangi Island, New Zealand. Marine Geology. 230. 115-125.","79"
"Dobson 1930","","","Dobson, A.D., 1930. Reminiscences of Arthur Dudley Dobson Engineer, 1841-1930. Whitcombe and Tombs, Wellington, 225pp.","80"
"Donnelly et al 2015 in review","","","Donnelly, J., Goff, J.R., Chagué-Goff, C. (in review) A record of local storms and 1 trans-Pacific tsunamis.","81"
"Downes et al 2005","","http://www.eqc.govt.nz/sites/public_files/3723-Understanding-local-source-tsunami-1820s-Southland-tsunami.pdf","Downes, G., Cochran, U., Wallace, L., Reyners, M, Berryman, K., Walters, R., Callaghan, F., Barnes, P. and Bell, R. (2005) EQC Project 03/490 – Understanding local source tsunami: 1820s Southland tsunami. GNS Client Report 2005/153, 92pp.","82"
"Duckmanton 1974","","","Duckmanton, N.M. (1974) The shore platforms of the Kaikoura Peninsula. Unpublished MA Thesis (Geography), University of Canterbury, 136pp. (In: Walters et al 2003).","83"
"Edson & Brown 1977","","","Edson, S. and Brown, D. (1977) Salvage excavation of an archaic burial context, N44/97, Hahei. Records of the Auckland Institute and Museum, 14, 25-36.","84"
"Elvy 1950","","","Elvy, W.J. (1950) Kaikoura coast: the history, traditions and Maori place-names of Kaikoura. Hundalee Scenic Board and Whitcombe and Tombs Ltd, Christchurch, 135pp. (In: Walters et al 2003).","85"
"Field 1877","","http://rsnz.natlib.govt.nz/volume/rsnz_09/rsnz_09_00_001240.html","Field, H.C. (1877) Notes on some ancient Aboriginal câches near Wanganui. Transactions and Proceedings of the New Zealand Institute, 9, 220-229.","86"
"Fomison 1960","","https://nzarchaeology.org/download/site-survey-of-the-kaikoura-peninsula","Fomison, T. (1959) Site survey of the Kaikoura Peninsula. New Zealand Archaeological Association Newsletter, 3, 4-18.","87"
"Fomison 1963","","https://nzarchaeology.org/download/excavations-at-south-bay-kaikoura-site-s49-43","Fomison, T. (1963) Excavations at South Bay Kaikoura – Site S49/43. New Zealand Archaeological Association Newsletter, 8,100-102.","88"
"Fox and Cassels 1983","","","Fox, A., and Cassels, R. (1983) Excavations at Aotea, Waikato, 1972–75. Rec. Auckland Inst. Mus. 20, 65–106.","89"
"Furey 1982","","","Furey, L. (1982) Whangapoua – Okiwi, Great Barrier island archaeological site survey. New Zealand Historic Places Trust. 17pp.","90"
"Furey 1991","","","Furey, L. (1991) Excavations at Whitipirorua, T12/16, Coromandel Peninsula. Records of the Auckland Institute and Museum, 28, 1-32.","91"
"Fyfe 1988","","","Fyfe, R. (1988). The Opua moahunter midden, Cape Egmont, Taranaki. Archaeology in New Zealand, 31, 228-232.","92"
"Gillies et al 2001","","","Gillies, K., Higham, T., Johns, D., Jones, M.D., Sutton, D.G. and Wallace, R.D. (2001) Radiocarbon age for a canoe prow from site D49/28, Mason Bay, Stewart Island, New Zealand. Australasian Archaeometry Conference 2001. Australasian Connections and New D","93"
"Goff 1997","10.1016/S0025-3227(97)00018-2","","Goff, J.R. (1997) A chronology of natural and anthropogenic influences on coastal sedimentation, New Zealand. Marine Geology, 138, 105-117.","94"
"Goff 2002a","","","Goff, J.R. (2002a) Preliminary study of tsunami record on Coromandel East Coast. GeoEnvironmental report: GEO2002/20024/6, Environmental Waikato/ Environmental Bay of Plenty, 34pp.","95"
"Goff 2002b","","","Goff, J.R. (2002b) Ancillary tsunami project. GeoEnvironmental report: GEO2002/20026.Report for Environmental Bay of Plenty, 43pp.","96"
"Goff 2003","","http://www.boprc.govt.nz/media/32239/CivilDefence-2006-TsunamiStageOneReportA.pdf","Goff, J.R. (2003) Joint Tsunami Research Project: Stage 1. GeoEnvironmental report: GEO2003/20028. Environment Bay of Plenty and Environment Waikato, 49pp.","97"
"Goff 2005a","","","Goff, J.R. (2005a) Preliminary core study - Upper Lyttelton Harbour. NIWA Report CHC2005-151, 15pp.","98"
"Goff 2005b","","http://www.aucklandcity.govt.nz/council/documents/technicalpublications/TP2801.pdf","Goff, J.R. (2005b) Tsunami Overview Study. GeoEnvironmental Consultants Report 2005/20060 for Auckland Regional Council. 28pp.","99"
"Goff 2007a","","","Goff, J.R. (2007a) New Plymouth District – tsunami risk. NIWA Report CHC2007-119, 32pp.","100"
"Goff 2007b","","","Goff, J.R. (2007b) Tsunami hazard assessment and coastal inundation modeling – Hawke’s Bay (Modules 4 and 5). Interim report. NIWA Report CHC2007-023, 22pp.","101"
"Goff 2008","","","Goff, J.R. (2008) Tsunami Hazard Assessment for Hawke’s Bay Region. NIWA Report CHC2008-021, 30pp.","102"
"Goff 2012","10.1111/j.1745-5871.2011.00705.x","","Goff, J.R. (2012) Tsunamis and stranded vessels: Up Ship Creek without a paddle? Geographical Research, 50(1), 102-107.","103"
"Goff and Chague-Goff 1999","10.1016/S1040-6182(98)00016-0","http://www.sciencedirect.com/science/article/pii/S1040618298000160","Goff, J.R. and Chagué-Goff, C. (1999) A Late Holocene record of environmental changes from coastal wetlands: Abel Tasman National Park, New Zealand. Quaternary International, 56, 39-51.","104"
"Goff and ChagueGoff 2007","","","Goff, J.R. and Chagué-Goff, C. (2007) Avon-Heathcote Estuary (Ihutai): Palaeoenvironmental changes project – Final stage report. NIWA Client Report CHC2007-026. Christchurch City Council, 22pp.","105"
"Goff and ChagueGoff 2009","","","Goff, J.R. and Chagué-Goff, C. (2009) Brief Communication: Cetaceans and tsunamis – whatever remains, however improbable, must be the truth? Natural Hazards Earth System Science, 9, 855–857.","106"
"Goff and ChagueGoff 2012","10.1016/j.quascirev.2012.10.004","","Goff, J.R. and Chagué-Goff, C. (2012) A review of palaeo-tsunamis for the Christchurch region, New Zealand. Quaternary Science Reviews, 57, 136-156.","107"
"","","","","108"
"Goff and ChagueGoff 2015a","10.1016/j.margeo.2015.03.002","","Goff, J.R. and Chagué-Goff, C. (2015a) Three large tsunamis on the non-subduction, western side of New Zealand over the past 700 years. Marine Geology, 363, 243-260.","109"
"Goff and ChagueGoff 2015b","","","Goff, J.R. and Chagué-Goff, C. (2015b) New Light Through Old Windows – Reaping the Benefits of a Palaeotsunami Database. American Geophysical Union Fall Meeting, 14-18 December 2015.","110"
"Goff and McFadgen 2001a","","","Goff, J.R. and McFadgen, B.G. (2001a) Nationwide tsunami during prehistoric Maori occupation, New Zealand. Proceedings of the International Tsunami Symposium 2001, NOAA/PEML, Seattle, USA, 469-476.","111"
"Goff and McFadgen 2001b","10.1017/S0003598X00052857","","Goff, J.R. and McFadgen, B.G. (2001b) Catastrophic seismic-related events and their impact on prehistoric human occupation in coastal New Zealand. Antiquity, 75, 155-162.","112"
"Goff and McFadgen 2002","","","Goff, J.R. and McFadgen, B.G. (2002) Palaeotsunami investigations – Okoropunga and Pukerua Bay. GeoEnvironmental Consultants Report GEO2002/20022/6. 27pp.","113"
"Goff and McFadgen 2003","10.1002/gea.10082","","Goff, J.R. and McFadgen, B.G. (2003) Large earthquakes and the abandonment of prehistoric coastal settlements in 15th Century New Zealand. Geoarchaeology, 18, 609-623.","114"
"Goff and McFadgen 2004","","","Goff, J.R. and McFadgen, B.G. (2004) Avon-Heathcote Estuary (Ihutai): Palaeoenvironmental changes over the last 4000 years. GeoEnvironmental Consultants Report GEO2004/20037. Christchurch City Council, 34pp.","115"
"Goff et al 1998","10.1144/GSL.SP.1999.146.01.21","http://sp.lyellcollection.org/content/146/1/353.abstract","Goff, J.R., Crozier, M., Sutherland, V., Cochran, U. and Shane, P. (1998) Possible tsunami deposits of the 1855 earthquake, North Island, New Zealand. In: Stewart, I.S. & Vita-Finzi, C. (eds) Coastal Tectonics. Geological Society Special Publication No. 1","116"
"Goff et al 2000","10.1016/S0025-3227(00)00076-1","http://www.sciencedirect.com/science/article/pii/S0025322700000761","Goff JR;Rouse HL;Jones SL;Hayward BW;Cochran U;McLea W;Dickinson WW;Morley MS, 2000, 'Evidence for an earthquake and tsunami about 3100-3400 yr ago, and other catastrophic saltwater inundations recorded in a coastal lagoon, New Zealand', Marine Geology, vol. 170, pp. 231 - 249.","117"
"Goff et al 2001a","","http://www.doc.govt.nz/documents/science-and-technical/dsis3.pdf","Goff, J., Nichol, S. and Chagué-Goff, C. (2001a) Evidence for catastrophic inundation of the West Coast: Okarito Lagoon. West Coast Regional Council Report, 34pp.","118"
"Goff et al 2001b","","http://www.doc.govt.nz/documents/science-and-technical/dsis3.pdf","Goff, J., Chagué-Goff, C. and Nichol, S (2001b) Environmental changes in Okarito Lagoon, Westland. GeoEnvironmental Consultants Report 20003. Department of Conservation Internal Series No. 3, 30pp.","119"
"Goff et al 2001c","","http://www.gw.govt.nz/assets/Emergencies--Hazards/wellington_regional_tsunami_hazard_scoping_project.pdf","Goff, J.R., McFadgen, B.G., Chagué-Goff, C., Downes, G., Kozuch, M. and Bell, R. (2001c) Wellington Regional Tsunami Hazard Scoping Project. GeoEnvironmental Consultants Report GEO2001/20008/12. Wellington Regional Council Publication No. WRC/RP-T-01/23,","120"
"Goff et al 2003","10.1080/03014223.2003.9517759","","Goff, J., Hulme, K. and McFadgen, B.G.  (2003) “Mystic Fires of Tamaatea”: Attempts to creatively rewrite New Zealand’s cultural and tectonic past. Journal of the Royal Society of New Zealand, 33, 1-15.","121"
"Goff et al 2004a","","https://inis.iaea.org/search/search.aspx?orig_q=RN:36042773","Goff, J.R., Wells, A., Chagué-Goff, C., Nichol, S.L. and Devoy, R.J.N. (2004a) The elusive AD 1826 tsunami, South Westland, New Zealand. New Zealand Geographer, 60, 14-25.","122"
"Goff et al 2004b","10.1016/S0025-3227(03)00352-9","","Goff, J.R., McFadgen, B.G. and Chagué-Goff, C. (2004b) Sedimentary differences between the 2002 Easter storm and the 15th Century Okoropunga tsunami, southeastern North Island, New Zealand. Marine Geology, 204, 235-250.","123"
"Goff et al 2007","","","Goff, J.R., Hicks, D.M., and Hurren, H. (2007) Tsunami geomorphology in New Zealand. National Institute of Water & Atmospheric Research Technical Report. No. 128, 69.","124"
"Goff et al 2008","10.1016/j.earscirev.2008.03.002","","Goff, J.R., McFadgen, B.G., Wells, A., and Hicks, M. (2008) Seismic signals in coastal dune systems. Earth Science Reviews.","125"
"Goff et al 2009","10.5194/nhess-9-847-2009","","Goff, J.R., Lane, E., Arnold, J. (2009) The tsunami geomorphology of coastal dunes. Natural Hazards Earth System Science, 9, 847–854.","126"
"Goff et al 2010a","10.1016/j.geomorph.2010.02.005","","Goff, J.R., Pearce, S., Nichol, S.L., Chagué-Goff, C., Horrocks, M., Strotz, L. (2010a) Multi-proxy records of regionally-sourced tsunamis, New Zealand. Geomorphology, 118, 369–382.","127"
"Goff et al 2010b","10.1016/j.margeo.2010.05.006","","Goff, J.R., Nichol, S, Chagué-Goff, C., Horrocks, M., McFadgen, B., Cisternas, M. (2010b) Predecessor to New Zealand's largest historic trans-South Pacific tsunami of 1868 AD. Marine Geology, 275, 155–165.","128"
"Goff et al 2012","10.1002/jqs.2571","","Goff, J.R., Chagué-Goff, C., Archer, M., Dominey-Howes, D., Turney, C. (2012) The Eltanin asteroid impact: possible South Pacific palaeomegatsunami footprint and implications for the Pliocene–Pleistocene transition. Journal of Quaternary Science, 27(7), 6","129"
"Goff et al 2015a","","","Goff, J.R., McClintock, J., Kain, C. (2015a) Past tsunami record for the Birdlings Flat area. Tsunami and Natural Hazards Research group Report TNHRG6. Christchurch Regional Council. 46pp.","130"
"Goff et al 2015b","","","Goff, J.R., McClintock, J., Kain, C. (2015b) Purau Bay to Pigeon Bay: Searching for tsunamis on the seaward side of Lyttelton Harbour. Tsunami and Natural Hazards Research group Report TNHRG7. Christchurch Regional Council. 51pp.","131"
"Goles 1995","","","Goles, G.C. (1995) Preliminary model for climatic and ecological controls of settlement in and near Te Toto amphitheatre, Whaanga District, West Coast, North Island. Archaeol. N. Z. 38, 94–99.","132"
"Golson 1959","","","Golson, J. (1959) Excavations on the Coromandel Peninsula. New Zealand Archaeological Newsletter, 2, 13-18.","133"
"Golson et al 1961","","","Golson, J., Melvin, L.W., Schofield, J.C. and Pullar, W.A. (1961) Investigations at Kauri Point, Katikati, Western Bay of Plenty. New Zealand Archaeological Association Newsletter, 4, 13-41.","134"
"Gordon 2001","","","Gordon, H.W. (2001) Unpublished manuscript based upon B.Sc (Hons) thesis entitled “An investigation of Maori kumara cultivation site, Okoura Farm, Waiwera, Canterbury”. (Held by the Department of Geological Sciences, University of Canterbury.) 18pp.","135"
