id,trigger_event_id_OLD,trigger_event_id,tide_gauge_id,date_from,date_to,date_specificity,date_certainty,year_comment,month_comment,day_comment,placename,latitude,longitude,validity,is_tsunami_observed,is_tsunami_observed_certainty,is_seiche_observed,is_seiche_observed_certainty,source_material,discussion,time_arrival_from,time_arrival_to,time_arrival_specificity,time_arrival_certainty,time_arrival_comment,time_elapsed,time_elapsed_certainty,surge_duration_lower,surge_duration_upper,surge_duration_certainty,max_effective_peak-trough_lower,max_effective_peak-trough_upper,max_effective_peak-trough_certainty,time_peak-effective_from,time_peak-effective_to,time_peak-effective_specficity,time_peak-effective_certainty,time_trough-effective_from,time_trough-effective_to,time_trough-effective_specificity,time_trough-effective_certainty,time_peak-trough-effective_comment,time-elapsed_peak-trough-effective_lower,time-elapsed_peak-trough-effective_upper,time-elapsed_peak-trough-effective_certainty,max_effective_zeropeak,max_effective_zeropeak_comment,max_effective_zeropeak_certainty,time_zeropeak-effective_from,time_zeropeak-effective_to,time_zeropeak-effective_specificity,time_zeropeak-effective_certainty,time_zeropeak-effective_comment,time-elapsed_zeropeak-effective_lower,time-elapsed_zeropeak-effective_upper,time-elapsed_zeropeak-effective_certainty,predominant_periods,is_first_motion_up,tidal_records,reference_datasource,time_arrival_expected_from,time_arrival_expected_to,time_arrival_expected_specificity,time_arrival_expected_certainty,time_arrival_expected_comment,obs_time_first_arrival_from,obs_time_first_arrival_to,obs_time_first_arrival_specificity,obs_time_first_arrival_certainty,obs_time_first_arrival_comment,obs_first_arrival_comments,traveltime_firstarrival_lower,traveltime_firstarrival_upper,traveltime_firstarrival_certainty,obs_observed_time_lapsed_lower,obs_observed_time_lapsed_upper,obs_observed_time_lapsed_certainty,obs_surge_duration_min_lower,obs_surge_duration_min_upper,obs_surge_duration_min_certainty,obs_max_peak-trough_lower,obs_max_peak-trough_upper,obs_max_peak-trough_certainty,obs_time_max_peak-trough-effective_comment,obs_time_max_peak-effective_from,obs_time_max_peak-effective_to,obs_time_max_peak-effective_specificity,obs_time_max_peak-effective_certainty,obs_time_max_trough-effective_from,obs_time_max_trough-effective_to,obs_time_max_trough-effective_specificity,obs_time_max_trough-effective_certainty,obs_water_elevation_shore_lower,obs_water_elevation_shore_upper,obs_water_elevation_shore_certainty,obs_time_max_elevation_comment,obs_time_max_elevation_from,obs_time_max_elevation_to,obs_time_max_elevation_specificity,obs_time_max_elevation_certainty,obs_height_max_at-inundation_lower,obs_height_max_at-inundation_upper,obs_height_max_at-inundation_certainty,obs_height_max_at-inundation_comment,obs_time_max_height_from,obs_time_max_height_to,obs_time_max_height_specificity,obs_time_max_height_certainty,obs_time_max_height_comment,obs_waterheight_at-inundation_proxy_max,obs_waterheight_at-inundation_proxy_min,obs_height_onshore,obs_max_onshore_flow_depth,obs_extent_inundation_lower,obs_extent_inundation_upper,obs_extent_inundation_certainty,obs_extent_inundation_comment,obs_heigth_max_inundation_lower,obs_heigth_max_inundation_upper,obs_heigth_max_inundation_certainty,obs_heigth_max_inundation_comment,obs_time_max_height_inundation_from,obs_time_max_height_inundation_to,obs_time_max_height_inundation_specificity,obs_time_max_height_inundation_certainty,obs_time_max_height_inundation_comment,obs_distance_travelled_lower,obs_distance_travelled_upper,obs_distance_travelled_certainty,obs_distance_travelled_comment,obs_height_max_bore_lower,obs_height_max_bore_upper,obs_height_max_bore_certainty,obs_is_first_motion-up,obs_is_first_motion-up_certainty,obs_predominant_period_lower,obs_predominant_period_upper,obs_predominant_period_certainty,obs_predominant_period_comment,obs_no_sig-waves,obs_wave_type,obs_wave_type_certainty,obs_fatalities,obs_fatalities_certainty,obs_injuries,obs_injuries_certainty,obs_damage,obs_intensity_lower,obs_intensity_upper,obs_threat_level,obs_threat_level_certainty,obs_measurement_type,obs_photographs,impact_summary,reference_ids,completeness,previous_database
82,27,27,,15/8/1868,15/8/1868,d,1,1868,August,15,Wanganui [Historical: Whanganui],-39.9311066,175.0465513,4,TRUE,1,,,"At Whanganui: Sudden rise in river of about 2 ft, which receded after about 5 minutes {no date given]. (Daily Southern Cross 22 Aug 1868); No mention of local effects in Wanganui Chronicle (searched till 1 Sept)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/8/1868 1:45,15/8/1868 1:45,t,1,,15/8/1868 00:00,15/8/1868 00:00,d,1,Unknown,,17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,1,,15/8/1868 0:00,15/8/1868 0:00,d,1,Unknown,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,III,III,1,1,1a,,see source event,,see source event,see source event
83,27,27,,15/8/1868,15/8/1868,d,1,1868,August,15,Castlepoint,-40.9,176.22,4,TRUE,1,,,"During night of Aug 14-15, tide highest for last 10 years with one exception. HW not expected until 14:00, but tide at 11:00 as high as ordinarily is."" (Evening Post 15 August 1868, and other newspapers)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/8/1868 23:15,14/8/1868 23:15,t,1,,1/8/1868 00:00,1/8/1868 00:00,m,1,During night (14-15 August),,14.5,14.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBSERVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,III,III,,,,,see source event,,see source event,see source event
84,27,27,,15/8/1868,15/8/1868,d,1,1868,August,15,Motueka,-41.1115251,173.0215131,4,TRUE,1,,,"At Motueka Wharf, tide observed to fall 2.5 feet in 2-3 minutes. On Aug 16 similar phenomena observed, but with less frequency [than on 15th] (Nelson Examiner 18 August 1868)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/8/1868 2:45,15/8/1868 2:45,t,1,,15/8/1868 00:00,15/8/1868 00:00,d,1,Unknown,,18,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBSERVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RRF,1,,,,,nil,III,III,,,,,see source event,,see source event,see source event
85,27,27,,15/8/1868,15/8/1868,d,1,1868,August,15,Port Nelson,-41.26,173.27,4,TRUE,1,,,"Particulars obtained from Mr Cross, harbourmaster, high water at 6.37 am, water ebbed as usual until 7.55, then ran in again rapidly, the water covering Boulder Bank in all directions until 08:00. Rise of water estimated to have been 5 ft. Water in harbour much disturbed. (Nelson Evening Mail 15 August 1868); On Aug 15, the tide flowed 4 times between sunrise and sunset, sometimes rising 2-3 ft in a few minutes. On August 15: High water at 06:30, tides ebbed until 07:54, then returned, flowing to 8:00 and in 6 minutes rose higher than at high water. At 12:00, in last quarter of ebb, the tide suddenly rose 2 ft, then fell again. At 14:10 the tide flowed again for a short time, and then receded. At 16:50 tide flowed, running in at a rate of 3.5-4 knots until 17:10, when it flowed very rapidly for a short time, and then at usual rate. Sunday, 16 Aug. High water, 07:40. Tide ebbed for 10 minutes, then stopped, and flowed for 5 minutes, and reached its full height. At 13:30 tide began flowing, but stopped shortly after, and did not resume flowing in until 14:10. Monday 17 August. Tide began to ebb 30 minutes before time. (Nelson Examiner 18 August 1868)","According to NIWA Tide forecaster (www.niwa.co.nz/services/free/tides), HW was at 06:40 (1.19 m) and 19:17(1.33 m) NZMT, LW at00:25 (-1.11 m) and 12:58 (-1.29 m) at Port Nelson
From LINZ Website tidal information relative to MSL (www.hydro.linz.govt.nz/tides), MHWS 1.93m, MLWS -1.83 m, MHWN 0.88 m, MLWN -0.86 m at Port Nelson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/8/1868 2:45,15/8/1868 2:45,t,1,,15/8/1868 7:55,15/8/1868 7:55,t,1,,,18,18,1,23.2,23.2,1,60,60,1,,,,,,,,,,,,,1.5,1.5,1,8:00,15/8/1868 8:00,15/8/1868 8:00,t,1,,,,,,,,,,1.5,,,,,,,,2.2,2.2,1,,15/8/1868 8:00,15/8/1868 8:00,t,1,8:00,,,,,,,,,,,,,,,RRF,1,,,,,nil,IV,IV,2,1,1b,,see source event,,see source event,see source event
86,27,27,,15/8/1868,15/8/1868,d,1,1868,August,15,The Grove (end of Queen Charlotte Sound),-41.27757992,173.9186391,4,TRUE,1,,,"The tide throughout this day has been very irregular, in its rise and fall. (Extract from Evening Post in Hawke’s Bay Herald 22 August 1868)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/8/1868 1:15,15/8/1868 1:15,t,1,,,,,,,,16.5,16.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBSERVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,III,III,,,,,see source event,,see source event,see source event
87,27,27,,15/8/1868,15/8/1868,d,1,1868,August,15,"Lambton Harbour, Wellington",-41.29,174.78,4,TRUE,1,,,"Time first noticed not known, but sudden rises and falls at intervals from 15-20 min observed from ""day break"", “the average of the differential levels being 3 ft”. Movements not observed to be strictly regular, the rise being more sudden at times. Hector placed assistants at end of Brown's wharf all day to take measurements. (Evening Post. 15 August 1868); Changes in level first noticed at around 08.30. From then until noon, the tide kept ""bumping"" against the brickwork beside the watermen's gridiron, sometimes rising above HWM and then suddenly receding. The greatest observable difference in the levels was about 8 ft. The water almost reached the public street at Te Aro, and floated a quantity of timber that lay 20 yards from high water level. Bar of gravel thrown up at mouth of Ngauranga River. (Wellington Independent 18 and 22 August 1868); Disturbance noticed early on Aug 15. At nearly LW, sea rapidly rose to very high water level and then as rapidly fell again. Rises and falls continued most of the day. The highest rises were at about 09:00 and 12:30, when water level was several feet above the ordinary HW, although actual high water due at 15:20. Variations in level were very rapid. During the morning, the rise and fall of the water at the Gridiron was obvious. Fearing inundation, the lower stories of buildings were cleared out in some cases. Early in the day, Dr. Hector was engaged in making some observations from Brown’s Wharf. (Extract from New Zealand Advertiser, 17 August 1868, in Daily Southern Cross 22 August 1868)",NOTE: diagram of tidal variation available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/8/1868 0:15,15/8/1868 0:15,t,1,,15/8/1868 6:30,15/8/1868 6:30,t,1,,,15.5,15.5,1,21.7,21.7,1,,,,1.2,2.4,2,07:45 & 13:00 (August 15),15/8/1868 00:00,15/8/1868 00:00,d,1,15/8/1868 00:00,15/8/1868 00:00,d,1,1,1,1,7:30,15/8/1868 7:30,15/8/1868 7:30,t,1,,,,,,,,,,1.2,1,,,,,,,1.1,1.1,2,,15/8/1868 13:00,15/8/1868 13:00,t,1,13:00,,,,,,,,,,,,,,,RRF,1,,,,,,VI,VI,2,1,1c,,see source event,,see source event,see source event
88,27,27,,15/8/1868,15/8/1868,d,1,1868,August,15,Picton,-41.29049591,174.0066935,4,TRUE,1,,,"Report at 16.25 August 15: Tide throughout day very irregular in its rise and fall, which was rising higher and falling lower than ever before known. Tides running in for 20 min, then out in similar time. (Marlborough Express 22 Aug 1868; similar in telegrams in other newspapers)","From LINZ Website tidal information relative to MSL (www.hydro.linz.govt.nz/tides), MHWS 0.75 m, MLWS -0.72 m at Picton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/8/1868 1:15,15/8/1868 1:15,t,1,,,,,,,,16.5,16.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBSERVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RRF,1,,,,,,IV,IV,,,,,see source event,,see source event,see source event
89,27,27,,15/8/1868,15/8/1868,d,1,1868,August,15,Whites Bay,-41.38596806,174.0578776,4,TRUE,1,,,"Report at 10:00 August 15: Sudden flow of water 30 yds inland. Rose again suddenly to high water mark. First tide in morning 20 yds beyond high water. Still continues to rise and fall rapidly. From hills to west [follows Awatere information], sea appeared rough, with large breakers on the rocks at White's Bay and Port Underwood. Sea and especially at the bar [Wairau bar?]. Sea subsided during day. (Marlborough Express 22 Aug 1868); “10 to 10.20a.m. – Fall, 30 yards (not perpendicularly) and rising suddenly; heavy swell and surf; high storm tides altering all the morning. 11.30. – Reports water up to office.” [Presumed to refer to August 15] Daily Southern Cross 22 August 1868, and other newspapers)","According to NIWA Tide forecaster (www.niwa.co.nz/services/free/tides), HW was at 01:40 (0.42 m) and 14:19 (0.54 m) NZMT, LW at 07:53 (-0.52 m) and 20:37 (-0.44 m) at Port Underwood. Assume office is at least 1-1.5 m above MHW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/8/1868 0:45,15/8/1868 0:45,t,1,,15/8/1868 1:40,15/8/1868 1:40,t,1,,,16,16,1,17,17,1,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.9,2,,15/8/1868 11:30,15/8/1868 11:30,t,1,11:30,1.9,1.4,,,30,,2,,1.5,2,2,,15/8/1868 11:30,15/8/1868 11:30,t,1,11:30,,,,,,,,,,,,,,,RRF,1,,,,,,V,V,2,1,1a,,see source event,,see source event,see source event
90,27,27,,15/8/1868,15/8/1868,d,1,1868,August,15,Wairau River [Default location: Wairau Bar],-41.505,174.056,4,TRUE,1,,,"Nothing unusual near Blenheim or neighbourhood. “Unaccountable” rise in Wairau River of several feet at Mr Beatson's farm [location unknown], which receded in a few minutes carrying away quantity of fencing, etc [not stated]. (Marlborough Express 22 Aug 1868)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/8/1868 0:45,15/8/1868 0:45,t,1,,,,,,,,16,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,1,,15/8/1868 0:00,15/8/1868 0:00,d,1,Unknown,0.6,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,Fencing washed away,VII,VII,1,1,1a,,see source event,,see source event,see source event
91,27,27,,15/8/1868,15/8/1868,d,1,1868,August,15,Awatere River [Default location: Awatere River mouth],-41.60821546,174.1638553,4,TRUE,1,,,"A similar rise observed in Awatere River [location not stated] as in Wairau River [ie several feet], and a new ford created near Templeton's. [This location is about 15 km up the river]. (Marlborough Express 22 Aug 1868)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/8/1868 0:45,15/8/1868 0:45,t,1,,,,,,,,16,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,1,,15/8/1868 0:00,15/8/1868 0:00,d,1,Unknown,0.6,,,,,,,,,,,,,,,,,15,15,1,,,,,,,,,,,,,,,,,,,VI,VI,1,1,1a,,see source event,,see source event,see source event
92,27,27,,15/8/1868,15/8/1868,d,1,1868,August,15,Westport,-41.74710617,171.5966107,4,TRUE,1,,,"About the time of low water [on August 15], several bores or waves of unusual size were observed running rapidly in from the sea, and towards high water, the HWM was achieved very quickly. The largest bore, 4-5 ft in height, occurred at 17:00-18:00 in the evening, breaking of one vessel's moorings at the Stanley Wharf. Similar phenomena observed along the coast Those travelling by Cobb's coach saw the sea recede a considerable distance, then a wave break upon the shore and advance considerable distance up the beach [exact location not given]. (West Coast Times 21 August 1868; quoted in Grey River Argus 20 August 1868)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/8/1868 2:45,15/8/1868 2:45,t,1,,15/8/1868 13:00,15/8/1868 13:00,t,1,,,18,18,1,28.3,28.3,1,,,,,,,,,,,,,,,,1.2,1.5,2,17:00,15/8/1868 17:00,15/8/1868 17:00,t,1,,,,,,,,,,1.5,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BC, BS",1,,,,,,V,V,2,1,1b,,see source event,,see source event,see source event
93,27,27,,15/8/1868,15/8/1868,d,1,1868,August,15,Greymouth,-42.45,171.21,4,TRUE,1,,,"In the evening of August 15 a sudden rise of several feet was observed to take place in a few minutes, and as rapidly to subside. We have this on the authority of a number of persons whose veracity we can rely on, but whether or not their imaginations were excited by the news from Lyttleton, we cannot say. (Grey River Argus 18 August 1868)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/8/1868 2:15,15/8/1868 2:15,t,1,,15/8/1868 17:00,,t,2,>17:00,,17.5,17.5,1,32,32,1,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,2,,15/8/1868 0:00,15/8/1868 0:00,d,1,evening,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,III,IV,1,1,1a,,see source event,,see source event,see source event
94,27,27,,15/8/1868,15/8/1868,d,1,1868,August,15,Hokitika,-42.719,170.961,4,FALSE,1,,,No disturbance observed. (Weekly Press 22 August 1868),<0.1 used to indicated tsunami was too small to be observable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/8/1868 1:45,15/8/1868 1:45,t,1,,,,,,,,17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT OBSERVED,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,I,1,1,1a,,see source event,,see source event,see source event
95,27,27,,15/8/1868,15/8/1868,d,1,1868,August,15,Saltwater Creek ,-43.27,172.71,4,TRUE,1,,,"At 09:30 on August 15, a wave 7 ft in height was advanced towards the bar. It was nearly low water in the creek at the time and a strong current outwards. A tremendous rush of water came up, sweeping before it large quantities of timber used at the works at the bridge. Continued throughout August 15, also on August 16 to a less extent. (The Press 18 August 1868, reprinted in Weekly Press 22 August 1868); Lower layers of bales stored at new woolstore built on Donald & Duncan Cameron's property soaked with water. (Goff, Pers. Comm.)","The observed effects are long after the expected first arrivals and greatest wave heights further to the south at Banks Peninsula.However, greater effects, had they occurred, may have gone unnoticed at low tide. According to NIWA Tide forecaster (www.niwa.co.nz/services/free/tides), HW was at 12:55 (0.96 m) NZMT, LW at 06:34 (-0.95 m) and 19:09 (-0.85 m) offshore near Saltwater Creek.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/8/1868 23:45,14/8/1868 23:45,t,1,,15/8/1868 9:30,15/8/1868 9:30,t,1,,,15,15,1,24.7,24.7,1,,,,2.1,,2,9:30 (August  15),15/8/1868 9:30,15/8/1868 9:30,t,2,15/8/1868 9:30,15/8/1868 9:30,t,2,1.1,,2,9:30,15/8/1868 9:30,15/8/1868 9:30,t,1,,,,,,,,,,,1.1,,,,,,,1.3,,2,,15/8/1868 9:30,15/8/1868 9:30,t,1,9:30,5,5,2,,,,,,,,,,,,BS,1,,,,,"timber washed away, water damage to wool bales",VI,VI,2,1,1a,,see source event,,see source event,see source event
96,27,27,,15/8/1868,15/8/1868,d,1,1868,August,15,Kaiapoi,-43.38538729,172.6691034,4,TRUE,1,,,"At about 03:00, 2 hours after ebb, a 4 ft high wave rushed up the Waimakariri. Vessels at several wharves broke away, some colliding, one lifted onto bank without damage other than snapped ropes. First wave at 03:00 followed by others at 15 min intervals. Between 03:00-04:00 seven bores, the first 2 or 3 being the largest; bore which came up at 8pm [?, should this be am?] was considerably above the banks near Harris' Island, but did not overflow them. It came up like a line of breakers, the greater part passing rapidly up the south branch of the river, receding just as quickly. Thought that the fact that it swept up the south branch saved the town. Fortunate that it also did not occur at high water. Waves continued to come up river at during the day, doing some damage to the sheet piling of the breakwater at Blind Creek, and tossing about shipping at wharves, one wave at about 11:00 smashing a dinghy. Waves were not as strong as tide rose higher. Bar shifted, the channel moving ¼ mile north. On night of August 15 and on August 16 more small waves reached the town. (Lyttelton Times 17 August 1868); Largest wave, 4-5 ft in height came up the river at 03:30. Some crews of vessels awakened by the noise, had time to cast anchor and prevent vessels from being washed against the bridge. Several others set adrift.Articles lying loose on the banks of the river were washed about. At most, water reached a few inches beyond HWM. Water rising and falling until 12:00 but no damage done. The land behind the rifle butts, and to seaward, was much flooded, water at the mouth of the river rising to about 10 ft in height. The river going up the river caused most wash along the south bank, but did not injure it. The ketch lying at the bar rode it out with difficulty. The signalman and pilot were compelled to clear out of their house. The bar recently opened is partially filled in, and it is hard to define where the best entrance really is. (The Press 18 August 1868, similar in Weekly Press 22 August 1868)","A key feature of the impact here is that some of the highest wave arrived at low tide, the height of the bore exceeded to height of the banks in some cases but did not flood over the banks, and thirdly that the effecst were quite differential in parts of the river system affecting the netrance and south banks to a greater extent. According to NIWA Tide forecaster (www.niwa.co.nz/services/free/tides), HW was at 12:55 (0.96 m) NZMT, LW at 06:34 (-0.95 m) and 19:09 (-0.85 m) offshore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/8/1868 23:45,14/8/1868 23:45,t,1,,15/8/1868 3:00,15/8/1868 3:00,t,1,,,15,15,1,18.3,18.3,1,40,,2,,,,,,,,,,,,,2.1,2.1,1,8:00,15/8/1868 8:00,15/8/1868 8:00,t,1,1.7,1.7,1,,15/8/1868 8:00,15/8/1868 8:00,t,1,8:00,2.1,,,,0,0,1,,1.1,1.2,2,,15/8/1868 3:30,15/8/1868 8:00,t,2,03:30 & 08:00,5,,2,,,,,,,10,15,2,,many,BS,1,,,,,"a few boats damaged, articles washed from banks",VI,VI,2,1,1b,,see source event,,see source event,see source event
97,27,27,,15/8/1868,15/8/1868,d,1,1868,August,15,Waimakaririri River Mouth [Default location: Kairaki],-43.38875282,172.7067392,4,TRUE,1,,,"The land behind the rifle butts, and to seaward, was much flooded, water at the mouth of the river rising to about 10 ft in height. The river going up the river caused most wash along the south bank, but did not injure it. The ketch lying at the bar rode it out with difficulty. The signalman and pilot were compelled to clear out of their house. The bar recently opened is partially filled in, and it is hard to define where the best entrance really is. (The Press 18 August 1868, similar in Weekly Press 22 August 1868); See entry for Kaiapoi for more infomation on behaviour in the river.","According to NIWA Tide forecaster (www.niwa.co.nz/services/free/tides), HW was at 12:55 (0.96 m) NZMT, LW at 06:34 (-0.95 m) and 19:09 (-0.85 m) offshore.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/8/1868 23:45,14/8/1868 23:45,t,1,,15/8/1868 03:00,15/8/1868 03:00,t,2,03:00?,,15,15,1,18.3,18.3,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,,15/8/1868 3:30,15/8/1868 8:00,t,2,03:30? & 08:00?,3,2,,,,,,,3,3,1,,15/8/1868 3:30,15/8/1868 8:00,t,2,03:30? & 08:00?,,,,,,,,,,,,,,Many,BS,2,,,,,"lands near mouth flooded, particularly on south bank; channel changed",VII,VII,2,1,1a,,see source event,,see source event,see source event
98,27,27,,15/8/1868,15/8/1868,d,1,1868,August,15,Avon River [Default location: Bexley],-43.51268404,172.7254696,4,TRUE,1,,,"Small wave of several inches noticed in Avon R [It is uncertain whether this effect of an earthquake on August 17, or tsunami]. (Daily Southern Cross 27 August 1868)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/8/1868 23:45,14/8/1868 23:45,t,1,,,,,,,,15,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,2,,,,,,,,0.1,,,,,,,,,,OBSERVED ONLY,,,,,,,,,,,,,,,,,,,,BS,1,,,,,,III,III,0,1,,,see source event,,see source event,see source event
99,27,27,,15/8/1868,15/8/1868,d,1,1868,August,15,Heathcote River [Default location: Estuary of the Heathcote & Avon Rivers],-43.55844982,172.7093523,4,TRUE,1,,,All the beacon buoys moved out of place in the Heathcote River. (Lyttelton Times 18 August 1877; quoted in other newspapers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/8/1868 23:45,14/8/1868 23:45,t,1,,,,,,,,15,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OBSERVED, note damage",,,,,,,,,,,,,,,,,"OBSERVED, note damage",,,,,,,,,,,,,,,,,,,,,,,,,,Buoys moved,IV,IV,,,,,see source event,,see source event,see source event
