id,location_region,location_site,latitude,longitude,sitestatus,physical_characteristics,classification,date_min,date_max,inferred_date_range_min,inferred_date_range_max,age_max,age_min,inferred_age_range,time_scale_age,validity,natureofevidence,natureofevidencedesc,datingtechnique,geodatingtechnique,eventcomment,elevation,elevation_comment,est_min_landward_limit,est_min_landward_limit_comment,thickness,source_cause,source_cause_comment,sourcecertainty,source_location,source_lat,source_lon,proxies,references
"22","Otago","Tautuku","-46.5874","169.4256","Deposit absent","None","Historical","1904","1904","1904","1904","1904","1904","1904","AD","Poor (1-4 criteria)","Cultural","Anthropological/Pūrākau [Oral record]","Historical data","","Two people washed out of buggy by ""tidal wave"" while driving along Tautuku Beach. No other data available -poor validity.","","","","","","Slide","","Inferred","","","","28","20"
"23","Bay of Plenty","Waimangu","-38.287","176.3858","Unknown","Geyser eruption and wave","Historical","1901","1901","1901","1901","1901","1901","1901","AD","Excellent (9+ criteria)","Cultural","Anthropological/Pūrākau [Oral record]","Historical data, Geological data","","Geyser eruption generated 12 ft wave of boiling water that carried FOUR people nearly a mile - they all died","","","","","","Geyser","","Known","Waimangu","","","28","19"
"24","Waikato","Taupo","-38.6922","176.0743","Deposit absent","None","Historical","1895","1895","1895","1895","1895","1895","1895","AD","Moderate (5-8 criteria)","Cultural","Anthropological/Pūrākau [Oral record]","Historical data","","A tidal wave 2 feet high recorded after EQ on Saturday, 17 Aug","","","","","","Quake","","Known","Lake Taupo area","-38.7588","174.5869","28","18"
"25","Bay of Plenty","Rotorua","-38.1314","176.2538","Deposit absent","Lake rose up","Historical","1886","1886","1886","1886","1886","1886","1886","AD","Moderate (5-8 criteria)","Cultural","Anthropological/Pūrākau [Oral record]","Historical data","","A tidal wave 3 feet high advanced 107 yards inland on June 25","","","","","","Quake","","Known","Lake Rotorua","-38.1109","176.27","28","17"
"26","Canterbury","Pigeon Bay","-43.6776","172.898","Deposit absent","Large wave","Historical","1881","1881","1881","1881","1881","1881","1881","AD","Moderate (5-8 criteria)","Cultural","Anthropological/Pūrākau [Oral record]","Historical data","","An earthquake wave about 10 feet high reported by ships's captain in Pigeon Bay, not experienced at Lyttelton??","","","","","","Quake","Several earthquakes in Christchurch area 1881","","","","","28","16"
"27","Otago","Taiaroa Heads","-45.7738","170.7277","Deposit absent","A small wave","Historical","1880","1880","1880","1880","1880","1880","1880","AD","Moderate (5-8 criteria)","Cultural","Anthropological/Pūrākau [Oral record]","Historical data","","An earthquake wave of 18 inches was reported by the harbourmaster","","","","","","Quake","Could be related to local event.","","","","","28","15"
"28","Canterbury","Lavericks Bay","-43.721005","173.097781","Deposit present","Marine sand in sandy soil matrix","Historical","1877","1877","1877","1877","1877","1877","1877","AD","Excellent (9+ criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Source: 1877AD Iquique","1","","130","","0.06","Quake","","Inferred","Arequipa","-20.3","-71.35","1,2,3,4,5,6,7,10,11,14,15,16,17,28,30","81"
"29","Canterbury","Lyttelton Harbour","-43.6512","172.6612","Deposit present","Shells/fine gravel in mud","Historical","1868","1868","1868","1868","1868","1868","1868","AD","Excellent (9+ criteria)","Primary","Sedimentary/Artefactual","Historical data, Geological data","Stratigraphic Correlation","Strat: Fortuitous finding in Lyttelton Harbour cores - work unfinished - Pb210 dated","0","","550","","0.02","Quake","","Known","Chile, Chile (North), Peru, Peru (South)","-17.879999","-70.940002","1,2,5,12,14,17,28,30","98"
"30","Wellington","Ngauranga","-41.2465","174.8157","Deposit absent","River mouth gravel bar","Historical","1868","1868","1868","1868","1868","1868","1868","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Historical data","","Gravel thrown up by wave.","1","","0","","1","Quake","","Known","Chile, Chile (North), Peru, Peru (South)","-17.879999","-70.940002","1,26,28,30","12"
"31","Hawke's Bay","Porangahau","-40.2176","176.7684","Deposit present","Sand in mud","Historical","1868","1868","1868","1868","1868","1868","1868","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Historical data","Stratigraphic Correlation","Strat: Post European arrival, could be AD1877 but author argues for AD1868. Tsunami geomorphology in vicinity","3","","250","","0.05","Quake","","Known","Chile, Chile (North), Peru, Peru (South)","-17.879999","-70.940002","1,2,5,11,17,26,28,30","102"
"32","Otago","Taieri River","-46.0618","170.1957","Not applicable","Boat carried down river","Historical","1868","1868","1868","1868","1868","1868","1868","AD","Excellent (9+ criteria)","Cultural","Anthropological/Pūrākau [Oral record]","Historical data","","Newspaper report of wave in the Taieri River sucking boat out","","","","","","Quake","","Known","Chile, Chile (North), Peru, Peru (South)","-17.879999","-70.940002","28,30","13"
"33","Chatham Islands","Chatham Island","-43.8193","-176.4809","Deposit present","Boulders and sand deposited","Historical","1868","1868","1868","1868","1868","1868","1868","AD","Excellent (9+ criteria)","Primary","Sedimentary/Artefactual","Historical data","","Reference in de Lange & Healy (1986) to report by Richards (1950); Māori village destroyed, European house destroyed, Māori OR Māoris killed","2","","6400","","0.15","Quake","","Known","Chile, Chile (North), Peru, Peru (South)","-17.879999","-70.940002","1,26,28,30","10,11,14,76,128"
"34","Canterbury","Purau Bay","-43.637828","172.754148","Deposit present","Coarse sand in silty soil matrix","Historical","1868","1868","1868","1868","1868","1868","1868","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","","3","","135","","0.3","Quake","","Known","Chile, Chile (North), Peru, Peru (South)","-17.879999","-70.940002","1,5,11,15,17,28,30","130"
"35","Canterbury","Port Levy","-43.663164","172.820725","Deposit present","Very fine sand fining up to silt","Historical","1868","1868","1868","1868","1868","1868","1868","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","","1","","35","","0.15","Quake","","Known","Chile, Chile (North), Peru, Peru (South)","-17.879999","-70.940002","1,2,5,11,17,26,28,30","130"
"36","Canterbury","Port Levy","-43.661315","172.811275","Deposit present","Very fine sand to silt","Historical","1868","1868","1868","1868","1868","1868","1868","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Occurs immediately after first appearance of exotic pollens","1.5","","38","","0.1","Quake","","Known","Chile, Chile (North), Peru, Peru (South)","-17.879999","-70.940002","1,5,7,11,14,17,28,30","130"
"37","Canterbury","Pigeon Bay","-43.688342","172.894861","Deposit present","Gravel and silt in a silty soil matrix","Historical","1868","1868","1868","1868","1868","1868","1868","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Historical data, Geological data","Radiocarbon, Archaeological information","Chronology based on in-situ radiocarbon dates and early European glass","1.5","","30","","0.15","Quake","","Known","Chile, Chile (North), Peru, Peru (South)","-17.879999","-70.940002","1,5,11,14,17,28,30","130"
"38","Chatham Islands","Cape Pattison, Chatham Island","-43.748039","-176.805471","Deposit present","Course sand and gravel","Historical","1868","1868","1868","1868","1868","1868","1868","AD","Excellent (9+ criteria)","Primary","Sedimentary/Artefactual","Geological data","First appearance of a variety of exotic pollens","Age of event determined by first appearance of exotic pollens.","1","","100","","0.16","Quake","","Known","Chile, Chile (North), Peru, Peru (South)","-17.879999","-70.940002","1,2,5,11,14,16,17,19,20,22,26,28,30","128"
"39","Canterbury","Lavericks Bay","-43.721005","173.097781","Deposit present","Marine sand in sandy soil matrix","Historical","1868","1868","1868","1868","1868","1868","1868","AD","Excellent (9+ criteria)","Primary","Sedimentary/Artefactual","Geological data","First appearance of a variety of exotic pollens","","1","","130","","0.25","Quake","","Known","Chile, Chile (North), Peru, Peru (South)","-17.879999","-70.940002","1,2,3,4,5,10,11,14,15,16,17,28,30","81"
"40","Chatham Islands","Okawa, Chatham Island","-43.760623","-176.27252","Deposit present","Thin sand deposit. Saltwater intrusion to wetland","Historical","1868","1868","1868","1868","1868","1868","1868","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Radiocarbon","Tsunami gravels on seaward dune. Marine inundation to wetland.","4","","400","","0.04","Quake","","Known","Chile, Chile (North), Peru, Peru (South)","-17.879999","-70.940002","1,14,26,28,30","228"
"41","Tasman District","Awaroa Inlet, Abel Tasman National Park","-40.8758","173","Deposit present","Silt peak in sand","Historical","1855","1855","1855","1855","1855","1855","1855","AD","Excellent (9+ criteria)","Primary","Sedimentary/Artefactual","Historical data, Geological data","Cs137, Trace element geochemistry","Cs137: Pre-AD1965; Geochem: Post Zn increase (~AD1850)","2","","3500","","0.05","Quake","","Inferred","Palliser Bay","-41.44","174.92","1,2,5,11,15,27,28,29,30","53,104"
"42","Wellington","Okourewa Stream, Wairarapa","-41.396925","175.150506","Deposit present","Cobbles/sand over lagoon silt","Historical","1855","1855","1855","1855","1855","1855","1855","AD","Excellent (9+ criteria)","Primary","Sedimentary/Artefactual","Historical data, Geological data","First appearance of a variety of exotic pollens","Pollen: beneath first occurrence Pinus pollen - & therefore earlier than ~AD1830. Cross-referenced with 15th C. event as per Goff & McFadgen 2003","7.2","","1400","","1.4","Quake","","Known","Palliser Bay","-41.44","174.92","1,2,3,4,5,6,7,15,17,19,20,24,28,30","116"
"43","Wellington","Okupe Lagoon, Kapiti Island","-40.82","174.936","Deposit present","Shell wedged under boulder","Historical","1855","1855","1855","1855","1855","1855","1855","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Historical data, Geological data","Radiocarbon","C14: Re-evaluation of Paua (Haliotis sp.) C14 age, contemporary account of wave height","3","","50","","","Quake","","Inferred","Palliser Bay","-41.44","174.92","14,26,28,30","117"
"44","Tasman District","Totaranui Inlet, Abel Tasman National Park","-40.8213","173","Deposit present","Silt peak in sand","Historical","1855","1855","1855","1855","1855","1855","1855","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Historical data, Geological data","Cs137, Trace element geochemistry","Cs137: Pre-AD1965; Geochem: Post Zn increase (~AD1850)","2","","200","","0.12","Quake","","Inferred","Palliser Bay","-41.44","174.92","1,2,5,11,15,28,30","53,104"
"45","Tasman District","Wainui Inlet, Abel Tasman National Park","-40.8222","172.9408","Deposit present","Silt peak in sand","Historical","1855","1855","1855","1855","1855","1855","1855","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Historical data, Geological data","Cs137","Cs137: Pre-AD1965; C14:Post AD1670-1790 (plant material)","2","","250","","0.08","Quake","","Inferred","Palliser Bay","-41.44","174.92","1,2,5,11,15,28,30","53,104"
"46","Wellington","Whangaimoana","-41.4082","175.1711","Deposit absent","Anvil deposited","Historical","1855","1855","1855","1855","1855","1855","1855","AD","Excellent (9+ criteria)","Primary","Sedimentary/Artefactual","Historical data, Geological data","","Personal observations of local farmer reported to Phillips. An anvil was deposited 30 ft above high water mark.","9","","","","","Quake","","Known","Palliser Bay","-41.44","174.92","28,30","257"
"47","Canterbury","Christchurch","-43.6","173","Not applicable","Meteorite impact","Historical","1853","1853","1853","1853","1853","1853","1853","AD","Poor (1-4 criteria)","Cultural","Anthropological/Pūrākau [Oral record]","Historical data","","Eyewitness acount of meteorite dropping into sea SE of Christchurch, no tsunami reported","","","","","","Bolide","Meteorite","","","","","28","192"
"48","Taranaki","Warea","-39.22","173.76","Not applicable","Māori ships destroyed","Historical","1848","1848","1848","1848","1848","1848","1848","AD","Poor (1-4 criteria)","Cultural","Anthropological/Pūrākau [Oral record]","Historical data","","Personal observations of the local missionary - Riemenschneider; could well be a storm","","","","","","Quake","","Inferred","Marlborough","","","","140"
"49","Southland","Waikawa","-46.6394","169.1441","Not applicable","Anchor buried","Historical","1839","1839","1839","1839","1839","1839","1839","AD","Poor (1-4 criteria)","Cultural","Anthropological/Pūrākau [Oral record]","Historical data","","Whaler's log, anchor chain parted in strong current and anchor covered by seven feet of sand. Tsunami?","2","","","","2","","","","","","","1","262"
"50","West Coast","Okarito","-43.2","170.19","Deposit present","Coarse sand in vfs","Historical","1826","1826","1826","1826","1826","1826","1826","AD","Excellent (9+ criteria)","Primary","Sedimentary/Artefactual","Historical data, Geological data","Dendrochronology","Dendro: Trees on stranded shoreline dated using dendrochronology, subsidence","0.5","","2000","","0.3","Quake","","Inferred","Alpine Fault","-43.28","170.4","1,2,5,6,11,12,14,17,26,28,30","118,122"
"51","West Coast","Ship Creek","-43.759022","169.150164","Not applicable","Ship wreck found inland","Historical","1826","1826","1826","1826","1826","1826","1826","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Historical data","Archaeological information","Ship wreck discovered by miners in 1866","","","275","","","Quake","Possibly linked with adjacent fault","Inferred","Alpine Fault","-43.98","168.902","22,28,30","103"
"52","West Coast","Whataroa River","-43.113708","170.262258","Not applicable","Ship wreck found inland","Historical","1826","1826","1826","1826","1826","1826","1826","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Historical data","Archaeological information","Ship wreck discovered by Brunner 1847","","","400","","","Quake","Possibly linked with adjacent fault","Inferred","Alpine Fault","-43.98","168.902","22,28,30","103"
"53","Southland","Waimea Plains","-45.893","168.6189","Not applicable","Pūrākau","Unknown","1810","1810","1810","1810","1810","1810","1810","AD","Poor (1-4 criteria)","Cultural","Anthropological/Pūrākau [Oral record]","Inferred","Archaeological information","Arch: Story states last moa killed on Waimea Plains around 1810 by man called Parawhenua. “Para” and “whenua” have several meanings, Parawhenua is the general word for tidal wave. The plains however are 100 km inland","","","","","","","","","","","","25","32,121"
"54","Southland","Orepuki","-46.2947","167.7325","Not applicable","Pūrākau","Unknown","1700","1800","1700","1800","1700","1800","1700-1800","AD","Poor (1-4 criteria)","Cultural","Anthropological/Pūrākau [Oral record]","Inferred","Archaeological information","Arch: (1) Wave wiped out Māori group on beach "" just before the landing of whalers and sealers"". Storm???; (2) Orepuki is actually ""Aro-pa-ki"" or ""cliff washed by high tide"" and is where a party of Māori were drowned attempting to pass.","","","","","","Quake","","Inferred","Puysegur Trench","","","25","45,122,265"
"55","Bay of Plenty","Kohika","-37.9","176.7873","Not applicable","Subsided hut floor","Prehistoric AD","1650","1700","1650","1650","1650","1700","1650","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Geological data","Archaeological information","Arch: Dated to 17th C, subsided floor subsequently infilled","","","2000","2000?","","Quake","","Inferred","Bay of Plenty","","","20,22,28","164,202"
"56","Canterbury","Okains Bay","-43.7","173.05","Deposit present","Fining-upward marine sand in mud","Prehistoric AD","1604","1604","1604","1604","1604","1604","1604","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Series of stacked deposits","0.2","","600","","0.1","Quake","","Known","Chile, Chile (North), Peru, Peru (South)","-17.879999","-70.940002","1,2,5,14,16,26,28,30","107"
"57","Waikato","Hauraki Plains","-37.23","175.538","Not applicable","Subsidence of settlements","Prehistoric AD","1590","1660","1650","1650","1590","1660","1650","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Geological data","Archaeological information","Arch: Dated to ~AD1590-1660, subsided floors of settlements near Hikutaia","","","","20000?","","Quake","","Inferred","Kerepahi Fault","-37.9","176.78","20,22,28","202,256"
"58","Marlborough District","Clifford Bay","-41.72","174.1918","Deposit present","Shelly sand over occupation layer","Prehistoric AD","1510","1685","1604","1604","1510","1685","1604","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Radiocarbon","C14: AD1510-1685 weighted mean shells in overlying midden?","3.5","","250","","0.5","Quake","","Inferred","Cook Strait, Cook Strait (South)","","","1,5,14,20,24,28,30","209,338"
"59","Wellington","East Palliser Bay","-41.503483","175.207458","Deposit present","Abandoned Māori sites","Prehistoric AD","1500","1550","1525","1525","1500","1550","1525","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Post-Archaic Māori - C14 dated abandonment of numerous coastal settlements","3",">3.00","300","","","Quake","","Inferred","Palliser Bay","-41.44","174.92","20,24,26,28,30","112,206"
"60","Wellington","Flat Point","-41.2441","175.9621","Deposit present","Sand overlying uplifted terraces","Prehistoric AD","1500","1650","1604","1604","1500","1650","1604","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Uplifted terraces are overlain by sand - the origin may be windblown but the association bears further investigation - dates to about 500 yr BP.","5","5.00?","250","","0.5","Quake","Maybe related to local late 15th C. event.","Inferred","Hikurangi Trough, South America","","","1,20,24,28,30","200,202"
"61","Wellington","Okau, Whakataki, Mataikona","-40.81","176.257","Deposit present","Pebbles over sand","Prehistoric AD","1500","1650","1604","1604","1500","1650","1604","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: These are correlated with other Wairarapa sites? Post ~AD1500 uplift. Moa bones/eggs in low profile dunes (a tsunami geomorphology?)","3",">3.00","150",">150","0.1","Quake","Maybe related to local late 15th C. event.","Inferred","Wairarapa coast","","","1,5,14,20,24,26,28,30","74,200,213"
"62","Wellington","Okoropunga","-41.4411","175.6468","Deposit present","Gravel/sand over soil","Prehistoric AD","1500","1650","1604","1604","1500","1650","1604","AD","Excellent (9+ criteria)","Primary","Sedimentary/Artefactual","Geological data","Radiocarbon","C14: in McFadgen 1980; possibly Palliser-Kaiwhata Fault? Buried stone row system","10.5","","250","","0.7","Quake","Maybe related to local late 15th C. event.","Inferred","Wairarapa coast","","","1,2,4,6,13,20,21,24,26,28,30","123,196,202"
"63","Wellington","Okourewa Stream, Wairarapa","-41.396925","175.150506","Deposit present","Cobbles/sand over lagoon silt","Prehistoric AD","1500","1650","1604","1604","1500","1650","1604","AD","Excellent (9+ criteria)","Primary","Sedimentary/Artefactual","Geological data","First appearance of a variety of exotic pollens","Pollen: beneath first occurrence Pinus pollen - & therefore earlier than ~AD1830. Cross-referenced with late 15th C. event as per Goff & McFadgen 2003","7.2","","1400","","1.4","Quake","Maybe related to local late 15th C. event.","Inferred","Palliser Bay","-41.44","174.92","1,2,3,4,5,6,7,15,17,19,20,24,28,30","116"
"64","Wellington","Te Oroi Stream","-41.5527","175.4574","Unknown","Gravels over alluvium","Prehistoric AD","1500","1650","1604","1604","1500","1650","1604","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Correlated with Ohuan sands - ref. McFadgen 1985, possibly Palliser-Kaiwhata Fault?","3",">3.00","50",">50","0.75","Quake","Maybe related to local late 15th C. event.","Inferred","Wairarapa coast","","","1,5,14,28,30","202,301"
"65","Wellington","Uruti Point","-41.1302","176.0628","Deposit present","Pebbles over sand","Prehistoric AD","1500","1650","1604","1604","1500","1650","1604","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: These are exotic rounded pebbles - correlates with other Wairarapa sites? Post ~AD1500 uplift; also a tsunami geomoprhology identified","1","","50",">50","0.1","Quake","Maybe related to local late 15th C. event.","Inferred","Wairarapa coast","","","1,5,28,30","177,280"
"66","Chatham Islands","Cape Pattison, Chatham Island","-43.748039","-176.805471","Deposit present","Sand and gravel with rip-up clasts","Prehistoric AD","1500","1700","1604","1604","1500","1700","1604","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","First appearance of a variety of exotic pollens","Age of event bracketed to between ~1500 and ~1700 AD using pollen changes associated with Moriori and subsequent European settlement. Matched with historical data for 1604 AD. Could be from 1575 AD Chile or 1586 AD Peru or 1687 AD Peru earthquake?","1","","100","","0.2","Quake","","Inferred","Peru, Arequipa","-17.879999","-70.940002","1,2,5,11,14,17,19,26,28","128"
